infile,threads,time_overall,time_computation,time_other
5kin.dat,1,3.659290e+00,3.037095e+00,6.221950e-01
5kin.dat,2,2.376314e+00,1.538184e+00,8.381298e-01
5kin.dat,4,1.497854e+00,7.759290e-01,7.219250e-01
5kin.dat,8,1.228303e+00,3.912771e-01,8.370259e-01
5kin.dat,16,7.989509e-01,2.134378e-01,5.855131e-01
10kin.dat,1,1.424221e+01,1.260049e+01,1.641723e+00
10kin.dat,2,7.813286e+00,6.098505e+00,1.714781e+00
10kin.dat,4,4.668127e+00,3.082121e+00,1.586006e+00
10kin.dat,8,3.171941e+00,1.539931e+00,1.632010e+00
10kin.dat,16,2.684348e+00,8.065200e-01,1.877828e+00
20kin.dat,1,5.606978e+01,5.046822e+01,5.601562e+00
20kin.dat,2,3.347782e+01,2.751398e+01,5.963842e+00
20kin.dat,4,2.002530e+01,1.405907e+01,5.966234e+00
20kin.dat,8,1.193531e+01,6.232578e+00,5.702729e+00
20kin.dat,16,8.859488e+00,3.212744e+00,5.646744e+00
40kin.dat,1,2.321595e+02,2.011222e+02,3.103737e+01
40kin.dat,2,1.340387e+02,1.054054e+02,2.863330e+01
40kin.dat,4,8.105983e+01,5.698137e+01,2.407847e+01
40kin.dat,8,5.221928e+01,3.117385e+01,2.104543e+01
40kin.dat,16,3.888195e+01,1.623504e+01,2.264691e+01
